"id","regtime(in unixtime)","country","device","app_language","user_language"
"0e8bed778e183177bb655041c71c81be","1472406360","FR","samsung SM-G920F","fr","fr_FR"
"044ca80d2c315e99112c35888237d71c","1472424719","BR","motorola MotoG3","en","pt_BR"
"04941b26a0e75aed9b3e9ed29dc9588b","1472311682","DE","samsung GT-I9105P","en","ar_AE"
"02e188194aeffd956850d22302fb58da","1472319841","BR","LGE LG-P716","en","pt_BR"
"0490fca9f8eeb66c0190fe9fdb3f70d6","1472498517","US","asus ASUS Transformer Pad TF300T","en","en_US"
"04071ff6c512dc1b60f0835c056d168e","1472667958","ES","asus ME173X","en","es_ES"
"04f4ad71c6a3537bdd3bfdf8297ccc94","1472325963","US","samsung SAMSUNG-SM-T337A","en","en_US"
"062cfc2746f6e5bfdead1452c52c912c","1472299081","US","samsung SM-N920T","en","en_US"
"1036bc2bbe5cd56aee8f4e9f7baad35d","1472300161","RO","samsung GT-I9301I","en","ro_RO"
"08ee4d8e6fe28f1798d06babe61c3956","1472587259","IT","samsung SM-T530","en","it_IT"
"09594ddcc5535304679c8bf838f4b2ee","1472425199","TR","samsung GT-I9060I","en","tr_TR"
"07bf798f4d3f7be716f20f8f6174cef3","1472226542","US","HTC HTCD100LVWPP","en","en_US"
"08a2da05795a16601eae1236fd847159","1472374080","IT","TCL ALCATEL ONE TOUCH P321","en","it_IT"
"0a2bcd196f65ef31c0a97c5851e9a8ac","1472556479","BR","asus ASUS_T00J","en","pt_BR"
"0b3319834a94a71804cd3654ce4f303e","1472377140","IT","Acer A1-840FHD","fr","it_IT"
"0bc995eb8c47c8646816f89b8c6271c7","1472480699","BR","samsung SM-J320M","en","pt_BR"
"0be661b4b73406f7a5f1179b1229ec04","1472244843","GB","samsung SM-T530","en","en_GB"
"0c341435ca5be0f900c332f9938abac4","1472411342","TR","samsung SM-G935F","en","tr_TR"
"0cec490d3da7cd930f4c2e2905500abe","1472587557","US","samsung GT-N8013","en","en_US"
"0bb6698212b866f472b2905739f83dbe","1472485379","BR","samsung SM-J500M","en","pt_BR"
"0beb132fc62683ae1bd256c6b2b53655","1472251620","ES","samsung SM-T210","en","es_ES"
"0c6aba8af3ae367f62133df9a0c962a1","1472402400","GB","samsung SM-G925F","en","en_GB"
"0cb00363487f8c044e778d105b1f65fe","1472212503","CA","samsung SM-G903W","fr","fr_CA"
"0d637261583b27d3843c0c66725abcde","1472510578","ES","Sunstech TAB92QC-8GB","en","es_ES"
"0ce93a4fa721cdce0edc6d8c19696ef0","1472506979","BR","samsung SM-G355M","en","pt_BR"
"0ea9dd522810b8c41a7c734c6ff78441","1472492339","GB","samsung SM-G930F","en","en_GB"
"0fb28d480d5fe95a162a02d343d27006","1472421419","US","samsung SM-J700P","en","en_US"
"0e4a3c6056dad7961f540a4b9f6ec435","1472658717","FR","samsung SM-T550","en","es_ES"
"0b8053ea2cafd3a8a70f67dc2feaf4ef","1472170922","US","samsung SM-G920V","en","en_US"
"23b0de9010be0ad3db5039d556fc730d","1472429461","US","Sony D6633","en","ar_EG"
"6c65433bf68d0e078d783ceb2260bdf9","1472651759","SE","samsung GT-P5210","en","en_GB"
"834376fcb95ae90fd1c966933d9cf5ff","1472667416","FR","WIKO PULP 4G","fr","fr_FR"
"079c73615ab597f510bf427ee176696a","1472672577","BR","samsung SM-T531","en","pt_BR"
"11295351564764214","1471189081","DE","samsung SM-G900F","de","de_DE"
"10551106369438756","1470909010","US","samsung SAMSUNG-SM-G920AZ","en","en_US"
"13260129306117215","1471020838","US","samsung SAMSUNG-SM-G900A","en","en_US"
"17555979503506663","1471193096","FR","samsung SM-G357FZ","fr","fr_FR"
"2002240e018c5f3d2213f5d4ddad34d9","1471889044","US","samsung SM-G935P","en","en_US"
"22792552538932410","1471264656","US","samsung SM-G550T1","en","en_US"
"1ef03fdbfc740fed8ff6e62be36bfe48","1471649829","US","HTC HTC Desire 626s","en","en_US"
"29580493684331592","1470735000","DE","HUAWEI HUAWEI VNS-L31","de","de_DE"
"25072915829601462","1470242082","DE","ZTE ZTE Blade L3","de","de_DE"
"28089394376045736","1471190535","IT","LENOVO Lenovo TB2-X30L","en","it_IT"
"36681968869807293","1470156291","FR","samsung SM-G920F","fr","fr_FR"
"32824807053857857","1470534242","US","LGE LG-H901","en","en_US"
"397e3b6e1e38a4202eda12647c23fded","1472332139","FR","samsung SM-T530","fr","fr_FR"
"4521da160668d08593790cdb1790888c","1472506620","CA","samsung SM-T350","en","en_CA"
"45912354750997600","1471290745","GB","samsung SM-G850F","en","en_GB"
"4f4eb8660483dfa486a21f09b9305aea","1472119322","DE","samsung GT-I8190","de","de_DE"
"48821887832294558","1470210175","GB","samsung SM-T210","en","en_GB"
"45989784152397034","1471631214","DE","samsung SM-T230","de","de_DE"
"50582004477592654","1471461402","BE","HTC HTC One mini 2","en","nl_NL"
